c-0         ,c-1                        ,c-2                  ,c-3         ,c-4 ,c-5                             ,c-6                         ,c-7 ,c-8                ,c-9       ,c-10                    ,c-11     ,c-12                 ,c-13 ,c-14       ,c-15 ,c-16                                ,c-17                                 ,c-18                      ,c-19 ,c-20                                            ,c-21 ,c-22       ,c-23                               ,c-24                       ,c-25        ,c-26 ,c-27                      ,c-28                      ,c-29         ,c-30 ,c-31 ,c-32                      ,c-33    ,c-34 ,c-35        ,c-36                               ,c-37         ,c-38 ,c-39 ,c-40                                 ,c-41 ,c-42 ,c-43                      ,c-44     ,c-45                        ,c-46 ,c-47                       ,c-48 ,c-49                        ,c-50                       ,c-51 ,c-52                   ,c-53                     ,c-54           ,c-55                              ,c-56                   ,c-57
          0 ,        243290200817664000 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 80 ,350190440570880000 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,  84 , 468840960 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 , 160 ,1680 ,                        0 ,      0 ,5040 ,14065228800 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,       0 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,  98228418580131840000 ,                       0 ,   40632883200 ,                                0 ,                     0 ,                         0
          0 ,                         0 ,                   0 ,18441561600 ,  0 ,                              0 ,                          0 , 56 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,   0 ,         0 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,  56 ,   0 ,                        0 ,      0 ,   0 ,          0 ,                                 0 ,     1552320 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,   18480 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,        282240 ,                                0 ,                     0 ,                         0
 2405894400 ,         21341245685760000 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 90 ,                 0 ,158630400 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,  30 , 123379200 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 ,2160 , 4811788800 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,  440640 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
 2713455360 ,      20517473602289664000 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 96 ,                 0 ,        0 ,      57391534551859200 ,       0 ,                   0 ,   0 ,         0 ,   0 ,           413632267822159626240000 ,                                   0 ,       430436509138944000 ,   0 ,                                              0 ,  28 , 428440320 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,  96 ,   0 ,                        0 ,      0 ,2016 ,16280732160 ,                                 0 ,   387636480 ,   0 ,   0 ,           1240896803466478878720000 ,   0 ,   0 ,                        0 ,  255024 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,  118616762880 ,                                0 ,                     0 ,                         0
  113097600 ,                         0 ,     820817141760000 ,          0 ,  0 ,                              0 ,                          0 , 40 ,                 0 ,        0 ,                      0 ,86169600 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,  44 ,   3991680 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,2851200 ,1320 ,   39916800 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,   85680 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,         2414168064000 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
          0 ,                         0 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 50 ,                 0 ,        0 ,                      0 ,       0 ,25030094487552000000 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,   0 ,         0 ,                                 0 ,                         0 ,53887680000 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 ,   0 ,          0 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,   60480 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
     349920 ,                         0 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 54 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,  81 ,    466560 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 ,3888 ,    3265920 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,    2160 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
          0 ,                         0 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 17 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,   0 ,         0 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 ,   0 ,          0 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,  799680 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
          0 ,                         0 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 16 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,   0 ,         0 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 ,   0 ,          0 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,  567840 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
          0 ,       8548947334287360000 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 50 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,          3877802510832746496000000 ,                                   0 ,                        0 ,   0 ,                                              0 ,   0 ,         0 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 ,   0 ,          0 ,                                 0 ,           0 ,   0 ,   0 ,          15511210043330985984000000 ,   0 ,   0 ,                        0 ,  910800 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
97470172800 ,      60619808370401280000 ,59352985749657600000 ,          0 ,  0 ,                              0 ,403291461126605635584000000 , 78 ,                 0 ,        0 ,25834735979032780800000 ,       0 ,                   0 ,   0 ,         0 ,   0 ,         70576005697155986227200000 ,         604937191689908453376000000 ,9662191256158260019200000 ,   0 ,                                              0 ,  84 ,1326124800 ,1997628433895949214005854208000000 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,  78 , 168 ,                        0 ,      0 ,4368 ,27848620800 ,1997628433895949214005854208000000 ,  3481077600 ,   0 ,   0 ,         352880028485779931136000000 ,   0 ,   0 ,                        0 , 2511600 ,100822865281651408896000000 ,   0 ,                         0 ,   0 ,100822865281651408896000000 ,                         0 ,   0 ,3690676568433254400000 ,                       0 ,  188972784000 ,       50411432640825704448000000 ,                     0 ,20164573056330281779200000
