date;timestamp;agent;level;level-set;won;score;time
2023-02-21;16:31:06.906838;Bambirds (current);1;/home/layaxx/Documents/s7_bsc-thesis/code/Levels/domino_levels;True;42600;2398
2023-02-21;17:11:23.927750;Bambirds (current);13;/home/layaxx/Documents/s7_bsc-thesis/code/Levels/domino_levels;True;49520;645
